binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp
prog16_word_count_fsm,1,1.0000,5,5,True,False,589,12,0.017425,12375,1010,databricks-claude-haiku-4-5,databricks,16.0,[],2026-08-12T15:19:07
prog16_word_count_fsm,2,1.0000,5,5,True,False,750,12,0.017239,12389,970,databricks-claude-haiku-4-5,databricks,12.3,[],2026-08-12T15:19:19
prog16_word_count_fsm,3,1.0000,5,5,True,False,741,12,0.018755,12490,1253,databricks-claude-haiku-4-5,databricks,14.7,[],2026-08-12T15:19:34
prog16_word_count_fsm,4,1.0000,5,5,True,False,565,12,0.017902,12547,1071,databricks-claude-haiku-4-5,databricks,14.8,[],2026-08-12T15:19:49
prog16_word_count_fsm,5,1.0000,5,5,True,False,565,12,0.011205,7320,777,databricks-claude-haiku-4-5,databricks,11.5,[],2026-08-12T15:20:00
prog16_word_count_fsm,6,1.0000,5,5,True,False,580,12,0.018108,12073,1207,databricks-claude-haiku-4-5,databricks,14.0,[],2026-08-12T15:20:14
prog16_word_count_fsm,7,1.0000,5,5,True,False,749,12,0.017776,12441,1067,databricks-claude-haiku-4-5,databricks,14.8,[],2026-08-12T15:20:29
prog16_word_count_fsm,8,1.0000,5,5,True,False,831,12,0.034848,24303,2109,databricks-claude-haiku-4-5,databricks,23.9,[],2026-08-12T15:20:53
prog17_whitespace_trim,1,0.6000,3,5,True,False,1267,12,0.020346,13646,1340,databricks-claude-haiku-4-5,databricks,15.2,[],2026-08-12T15:21:08
prog17_whitespace_trim,2,1.0000,5,5,True,False,998,12,0.018368,13113,1051,databricks-claude-haiku-4-5,databricks,13.4,[],2026-08-12T15:21:21
prog17_whitespace_trim,3,1.0000,5,5,True,False,1141,12,0.018953,12993,1192,databricks-claude-haiku-4-5,databricks,14.1,[],2026-08-12T15:21:35
prog17_whitespace_trim,4,0.4000,2,5,True,False,1082,12,0.019122,13372,1150,databricks-claude-haiku-4-5,databricks,15.3,[],2026-08-12T15:21:51
prog17_whitespace_trim,5,1.0000,5,5,True,False,1184,12,0.018988,13038,1190,databricks-claude-haiku-4-5,databricks,14.2,[],2026-08-12T15:22:05
prog17_whitespace_trim,6,0.4000,2,5,True,False,1065,12,0.019310,13395,1183,databricks-claude-haiku-4-5,databricks,15.8,[],2026-08-12T15:22:21
prog17_whitespace_trim,7,0.6000,3,5,True,False,1536,12,0.018259,12859,1080,databricks-claude-haiku-4-5,databricks,12.6,[],2026-08-12T15:22:33
prog17_whitespace_trim,8,0.8000,4,5,True,False,1060,12,0.025688,19253,1287,databricks-claude-haiku-4-5,databricks,16.6,[],2026-08-12T15:22:50
prog18_caesar_cipher,1,0.8000,4,5,True,False,1205,12,0.021344,15089,1251,databricks-claude-haiku-4-5,databricks,14.6,[],2026-08-12T15:23:04
prog18_caesar_cipher,2,0.8000,4,5,True,False,1187,12,0.027415,21250,1233,databricks-claude-haiku-4-5,databricks,16.2,[],2026-08-12T15:23:21
prog18_caesar_cipher,3,0.8000,4,5,True,False,1157,12,0.020326,14861,1093,databricks-claude-haiku-4-5,databricks,13.4,[],2026-08-12T15:23:34
prog18_caesar_cipher,4,0.8000,4,5,True,False,1244,12,0.027405,21210,1239,databricks-claude-haiku-4-5,databricks,16.1,[],2026-08-12T15:23:50
prog18_caesar_cipher,5,0.8000,4,5,True,False,1196,12,0.020801,14906,1179,databricks-claude-haiku-4-5,databricks,14.5,[],2026-08-12T15:24:05
prog18_caesar_cipher,6,0.8000,4,5,True,False,1066,12,0.027957,21797,1232,databricks-claude-haiku-4-5,databricks,16.1,[],2026-08-12T15:24:21
prog18_caesar_cipher,7,0.8000,4,5,True,False,1219,12,0.021453,14968,1297,databricks-claude-haiku-4-5,databricks,15.6,[],2026-08-12T15:24:36
prog18_caesar_cipher,8,0.8000,4,5,True,False,1208,12,0.034931,28021,1382,databricks-claude-haiku-4-5,databricks,20.7,[],2026-08-12T15:24:57
prog19_palindrome_checker,1,1.0000,5,5,True,False,1232,12,0.019966,14451,1103,databricks-claude-haiku-4-5,databricks,13.7,[],2026-08-12T15:25:11
prog19_palindrome_checker,2,1.0000,5,5,True,False,1421,12,0.028826,21666,1432,databricks-claude-haiku-4-5,databricks,17.7,[],2026-08-12T15:25:29
prog19_palindrome_checker,3,1.0000,5,5,True,False,1117,12,0.019839,14454,1077,databricks-claude-haiku-4-5,databricks,14.0,[],2026-08-12T15:25:43
prog19_palindrome_checker,4,1.0000,5,5,True,False,1279,12,0.033214,26904,1262,databricks-claude-haiku-4-5,databricks,18.1,[],2026-08-12T15:26:01
prog19_palindrome_checker,5,0.8000,4,5,True,False,1164,12,0.019690,14345,1069,databricks-claude-haiku-4-5,databricks,14.4,[],2026-08-12T15:26:15
prog19_palindrome_checker,6,1.0000,5,5,True,False,1269,12,0.021194,14759,1287,databricks-claude-haiku-4-5,databricks,14.5,[],2026-08-12T15:26:29
prog19_palindrome_checker,7,1.0000,5,5,True,False,1312,12,0.020983,14803,1236,databricks-claude-haiku-4-5,databricks,13.7,[],2026-08-12T15:26:43
prog19_palindrome_checker,8,1.0000,5,5,True,False,1237,12,0.033628,27698,1186,databricks-claude-haiku-4-5,databricks,16.9,[],2026-08-12T15:27:00
prog20_anagram_checker,1,1.0000,5,5,True,False,1682,12,0.021765,14935,1366,databricks-claude-haiku-4-5,databricks,15.5,[],2026-08-12T15:27:16
prog20_anagram_checker,2,1.0000,5,5,True,False,1669,12,0.035500,27935,1513,databricks-claude-haiku-4-5,databricks,18.5,[],2026-08-12T15:27:34
